class,id,x,y,value
4,365,531.0,352.0,0.0
7,366,80.0,434.0,0.0
7,367,80.0,434.0,0.0
0,368,548.0,440.0,0.4019
4,369,563.0,494.0,0.0
9,370,655.0,317.0,-0.5216
6,371,652.0,316.0,-0.4508
4,372,614.0,343.0,0.0
5,373,624.0,340.0,-0.4015
5,374,589.0,321.0,-0.128
5,375,589.0,321.0,-0.128
1,376,176.0,261.0,0.6808
2,377,669.0,302.0,0.2732
1,378,80.0,434.0,0.4939
1,379,80.0,434.0,0.4939
10,380,80.0,434.0,-0.296
10,381,80.0,434.0,-0.296
4,382,556.0,496.0,0.0
9,383,655.0,316.0,-0.6486
36,384,537.0,415.0,-0.8481
6,385,652.0,321.0,-0.4767
4,386,580.0,332.0,0.0
4,387,580.0,332.0,0.0
4,388,387.0,433.0,0.0
7,389,103.0,362.0,0.0
0,390,426.0,482.0,0.2247
4,391,494.0,361.0,0.2443
4,392,494.0,361.0,0.2443
5,393,535.0,419.0,-0.4215
4,394,459.0,463.0,-0.2144
0,395,574.0,400.0,0.7279
4,396,534.0,419.0,-0.2023
5,397,646.0,337.0,0.0
4,398,586.0,386.0,0.0382
0,399,556.0,495.0,0.6369
7,400,95.0,258.0,0.0
5,401,646.0,337.0,0.0
0,402,616.0,344.0,0.6369
5,403,646.0,337.0,0.0
5,404,646.0,337.0,0.0
5,405,671.0,287.0,0.0
0,406,580.0,332.0,0.8494
0,407,580.0,332.0,0.8494
5,408,646.0,337.0,0.0
6,409,617.0,347.0,-0.5267
5,410,646.0,337.0,0.0
0,411,533.0,342.0,0.4404
13,412,583.0,523.0,-0.5106
6,413,574.0,400.0,-0.6486
2,414,620.0,343.0,0.1501
6,415,537.0,415.0,-0.6381
135,416,95.0,258.0,-0.8932
2,417,654.0,318.0,0.0
31,418,556.0,369.0,-0.7783
0,419,406.0,474.0,0.765
6,420,624.0,340.0,-0.5423
4,421,584.0,516.0,0.0
0,422,494.0,361.0,0.4753
0,423,494.0,361.0,0.4753
5,424,570.0,313.0,-0.5256
4,425,563.0,480.0,0.0
4,426,556.0,495.0,0.0
2,427,654.0,320.0,0.0
5,428,644.0,322.0,-0.1695
9,429,654.0,318.0,-0.7579
10,430,149.0,413.0,-0.3182
0,431,523.0,463.0,0.4404
4,432,474.0,427.0,0.0
4,433,387.0,433.0,0.0
4,434,580.0,332.0,0.0
4,435,580.0,332.0,0.0
2,436,655.0,320.0,0.0
7,437,176.0,261.0,0.0
4,438,556.0,495.0,0.0
10,439,184.0,384.0,-0.3612
0,440,537.0,417.0,0.5859
4,441,426.0,482.0,0.0772
