class,id,x,y,value
46,441,426,482,0.0772
19,442,523,463,0.3412
0,443,107,367,0.4019
39,444,655,320,-0.4215
14,445,655,317,0.5538
5,446,675,309,0
79,447,386,393,0
45,448,571,390,0.3612
217,449,475,333,0
5,450,688,284,0
148,451,474,262,0.5093
9,452,556,495,0
42,453,517,331,0
33,454,556,369,0.296
2,455,106,207,0
9,456,556,495,0
9,457,557,493,0
33,458,556,369,0.4019
2,459,106,207,0
34,460,80,434,0.6808
34,461,80,434,0.6808
6,462,146,418,0
9,463,556,495,0
39,464,655,320,-0.4588
33,465,556,369,0.7958
11,466,537,417,0
306,467,176,261,0
9,468,556,495,0
19,469,523,463,0
18,470,496,303,0
9,471,556,495,0
11,472,537,417,0
5,473,688,284,0.4019
36,474,406,474,0
17,475,184,386,-0.8625
36,476,406,474,0
50,477,103,243,0
2,478,105,205,0
50,479,99,244,-0.0772
150,480,283,521,-0.508
150,481,283,521,-0.508
33,482,556,369,0.5574
92,483,492,306,-0.8516
92,484,492,306,-0.8516
20,485,455,372,0
20,486,455,372,0
9,487,556,496,0
2,488,110,210,0
199,489,610,317,0
76,490,382,466,0
41,491,580,332,-0.7369
41,492,580,332,-0.7369
34,493,80,434,-0.296
34,494,80,434,-0.296
76,495,382,466,-0.1027
9,496,556,495,0
15,497,283,521,0.5255
15,498,283,521,0.5255
105,499,614,365,0
16,500,647,338,0.2144
38,501,590,276,0
221,502,430,298,0.4215
44,503,496,303,-0.6369
2,504,110,210,-0.5267
6,505,151,417,0
6,506,153,419,-0.3182
5,507,688,284,0
38,508,598,273,0
63,509,395,318,-0.3182
2,510,110,210,0
84,511,556,488,-0.5759
6,512,162,434,0.6249
4,513,569,488,-0.4767
19,514,523,463,0
76,515,382,466,0
41,516,580,332,-0.1761
41,517,580,332,-0.1761
76,518,382,466,0
5,519,688,284,-0.0928
30,520,619,346,0
76,521,382,466,-0.0572
105,522,614,365,0
7,523,548,440,0
66,524,107,363,-0.4939
274,525,500,426,-0.7034
41,526,576,310,0
5,527,688,297,0.7378
14,528,645,316,0
151,529,92,194,0
4,530,581,504,-0.5562
76,531,382,466,0
76,532,382,466,0
18,533,496,303,0
76,534,382,466,0
166,535,471,463,0.2103
2,536,110,210,-0.6249
14,537,654,318,-0.2263
38,538,590,276,-0.2732
14,539,654,318,0.5499
24,540,115,359,0
164,541,477,379,0
5,542,688,297,0.5093
25,543,420,427,0
76,544,382,466,0
34,545,80,434,0
34,546,80,434,0
2,547,106,207,0
274,548,500,426,-0.7034
16,549,637,346,0
10,550,688,284,-0.6808
79,551,386,393,-0.636
112,552,531,352,-0.3724
112,553,531,352,-0.3724
41,554,589,321,-0.836
41,555,589,321,-0.836
5,556,688,284,0
11,557,531,423,0.3612
76,558,382,466,0
30,559,609,337,0
5,560,678,293,0.727
1,561,550,290,0.2571
76,562,382,466,0
33,563,544,378,0
150,564,283,521,-0.69
150,565,283,521,-0.69
76,566,382,466,0
2,567,106,207,-0.2732
2,568,103,210,-0.4767
11,569,537,417,0.6369
17,570,204,371,0.7345
193,571,492,461,-0.8126
278,572,678,293,-0.6351
14,573,653,316,0
8,574,549,294,0
2,575,106,207,-0.2732
0,576,104,361,0
278,577,678,293,-0.7955
16,578,640,330,0
149,579,191,433,0.1007
50,580,101,239,0.25
41,581,587,308,0.4019
14,582,651,312,0
67,583,131,400,0
67,584,131,400,0
14,585,654,318,-0.2942
42,586,518,341,0
74,587,471,400,0
4,588,581,504,-0.7177
2,589,106,207,0
66,590,115,359,-0.3382
189,591,656,243,0.659
319,592,176,261,-0.6597
12,593,580,332,0.5423
12,594,580,332,0.5423
230,595,353,450,0
55,596,283,521,-0.3802
55,597,283,521,-0.3802
6,598,146,418,0
123,599,434,250,0
8,600,550,290,-0.6155
74,601,471,400,0.6696
16,602,625,336,0
76,603,382,466,0
69,604,531,352,0
69,605,531,352,0
67,606,131,400,0
67,607,131,400,0
36,608,406,474,0.3595
2,609,106,207,0
76,610,382,466,0
2,611,106,207,0
30,612,619,341,0
76,613,382,466,0.0772
18,614,496,303,0.5994
34,615,80,434,0
34,616,80,434,0
12,617,584,321,0.9169
69,618,521,354,0
14,619,655,316,0.2732
14,620,659,313,-0.2914
160,621,364,501,-0.4926
28,622,494,361,0.1984
28,623,494,361,0.1984
2,624,106,207,-0.7456
118,625,537,417,-0.5267
79,626,384,396,0
14,627,661,318,0.5423
48,628,223,421,0
14,629,661,318,0.3182
13,630,184,386,0.6705
50,631,101,239,-0.743
14,632,661,318,0
11,633,537,417,0
14,634,661,318,0
52,635,304,335,0
14,636,661,318,0
14,637,661,318,0
33,638,539,371,0
338,639,446,350,-0.0823
14,640,655,316,0.8519
96,641,625,336,-0.2942
85,642,325,419,0.5136
4,643,581,504,0
186,644,434,465,0
79,645,387,396,0
8,646,550,290,-0.2342
2,647,106,207,-0.7456
475,648,128,211,0
5,649,688,284,-0.128
14,650,654,318,0.3612
69,651,521,354,0.296
36,652,406,474,0.4215
2,653,106,207,0.3612
14,654,655,316,0.4404
30,655,620,344,0
11,656,534,417,-0.3182
11,657,534,417,-0.3182
15,658,283,521,0.765
15,659,283,521,0.765
0,660,103,362,0
1,661,550,290,0.3237
268,662,698,266,-0.5859
34,663,80,434,0.6996
34,664,80,434,0.6996
112,665,521,354,-0.504
24,666,107,363,-0.0754
30,667,617,347,0.1149
4,668,581,504,-0.3544
261,669,624,264,-0.5411
264,670,435,253,-0.4336
38,671,590,276,0
26,672,581,504,-0.9011
67,673,131,400,0.6588
67,674,131,400,0.6588
184,675,172,275,0
41,676,589,321,-0.9188
41,677,589,321,-0.9188
80,678,654,318,-0.6705
66,679,103,362,-0.4019
12,680,589,321,0
12,681,589,321,0
182,682,202,290,-0.7964
24,683,107,363,-0.3412
140,684,539,371,-0.5673
84,685,556,496,-0.5719
44,686,496,303,-0.2942
14,687,655,316,0
68,688,494,361,0
68,689,494,361,0
23,690,583,523,0
6,691,159,413,-0.5859
170,692,596,387,-0.4939
41,693,580,332,0
41,694,580,332,0
68,695,494,361,0
68,696,494,361,0
66,697,107,363,-0.5106
4,698,581,504,0
79,699,386,393,0.6988
6,700,146,418,-0.4738
190,701,512,435,0
165,702,202,290,-0.296
6,703,146,418,-0.2732
6,704,146,418,0
6,705,146,418,-0.4199
383,706,512,435,-0.4019
131,707,509,421,0
79,708,388,394,0
121,709,565,466,0
6,710,160,408,0
14,711,654,318,0
14,712,660,308,0
33,713,539,371,0.7906
14,714,655,320,-0.296
6,715,146,418,-0.5859
24,716,107,363,-0.3335
6,717,162,434,0
16,718,643,328,0
6,719,153,419,-0.5994
4,720,581,504,-0.4226
29,721,597,418,0
24,722,107,363,0
163,723,407,386,0
73,724,523,463,-0.296
12,725,589,321,0.6739
12,726,589,321,0.6739
52,727,300,321,0.3802
65,728,373,479,0
65,729,373,479,0
4,730,581,504,0.7946
18,731,496,303,0.5661
29,732,606,415,0.4404
32,733,256,372,0
63,734,395,318,0.4479
17,735,184,384,-0.0314
44,736,492,295,0
14,737,655,316,0.8477
193,738,490,466,-0.5719
2,739,103,210,0.2244
54,740,560,316,0
11,741,537,417,0.4588
22,742,490,466,0.7003
14,743,654,318,0
116,744,550,331,0
4,745,581,504,-0.4215
3,746,150,415,0.5374
12,747,589,321,0
12,748,589,321,0
14,749,660,308,0
18,750,491,303,0
4,751,581,504,0.7707
34,752,80,434,0
34,753,80,434,0
74,754,471,400,0.6006
14,755,655,316,0.7717
224,756,165,229,0
66,757,115,359,-0.658
68,758,494,361,0
68,759,494,361,0
100,760,373,479,-0.1779
100,761,373,479,-0.1779
66,762,115,359,-0.6239
8,763,550,290,-0.3036
66,764,115,359,-0.6239
168,765,96,271,-0.4019
6,766,148,414,0
70,767,624,264,0
1,768,550,290,0.7901
224,769,165,229,0
370,770,236,400,-0.5423
14,771,655,316,0.2655
54,772,565,307,0
54,773,565,307,0
163,774,406,387,0
131,775,509,421,0
33,776,539,371,0.5815
3,777,146,418,0.4939
34,778,80,434,-0.2263
34,779,80,434,-0.2263
28,780,494,361,0.5399
28,781,494,361,0.5399
503,782,125,219,-0.6486
6,783,172,417,0.0772
6,784,148,413,0
14,785,655,320,0
6,786,148,413,0
170,787,586,386,0
6,788,154,420,0
14,789,654,318,0
6,790,148,413,0
117,791,406,387,0.5562
192,792,655,244,0
80,793,654,318,-0.5362
141,794,539,391,-0.3612
140,795,539,391,0.0772
63,796,397,323,0.7212
63,797,397,323,0.7212
0,798,104,364,0.4767
2,799,107,209,0.2263
6,800,146,418,0.3124
3,801,146,418,0.6229
6,802,148,414,0
70,803,628,252,0.6786
99,804,534,341,0
95,805,574,400,-0.12
66,806,108,369,-0.6908
13,807,184,384,0.8151
68,808,494,361,0
68,809,494,361,0
6,810,162,434,0
96,811,626,343,-0.8465
11,812,537,417,0.4215
0,813,103,362,0
96,814,626,343,-0.8465
96,815,626,343,-0.8465
53,816,655,316,-0.5927
6,817,148,413,-0.4995
96,818,626,343,-0.8465
65,819,373,479,0
65,820,373,479,0
96,821,626,343,-0.8465
6,822,148,413,0.0258
6,823,148,413,0
112,824,534,341,-0.5267
14,825,655,316,0.4404
128,826,76,242,0
204,827,534,341,-0.6625
14,828,655,316,0.4404
6,829,148,413,0
53,830,655,316,-0.5362
14,831,655,316,0.3612
41,832,603,322,0
112,833,537,358,0
6,834,146,418,0
5,835,700,303,0
53,836,655,316,-0.4466
6,837,146,418,0
14,838,655,317,0
152,839,162,434,-0.5423
116,840,550,331,0
123,841,436,253,0.3987
29,842,610,387,0
2,843,103,210,-0.6124
67,844,123,397,0
17,845,184,384,0
6,846,162,434,0.3382
29,847,610,387,-0.2235
63,848,402,305,0.5719
151,849,99,186,-0.0572
155,850,610,387,-0.5267
20,851,455,372,-0.6808
20,852,455,372,-0.6808
151,853,99,186,-0.0572
33,854,544,378,0.5983
5,855,682,300,0
2,856,103,210,-0.5574
29,857,610,387,0.6705
256,858,614,365,-0.4019
163,859,406,387,0
239,860,525,400,-0.5859
38,861,590,267,0
140,862,544,378,-0.5267
108,863,469,400,-0.815
61,864,655,286,0.4926
89,865,590,276,-0.7964
29,866,610,387,0
86,867,390,448,0.1531
74,868,469,400,0
145,869,537,295,-0.5106
16,870,641,332,0
4,871,583,515,0.1635
8,872,537,295,0
38,873,590,276,-0.296
14,874,654,318,0
9,875,555,496,0
44,876,496,300,-0.6187
0,877,103,360,0.8614
14,878,654,318,0
11,879,537,417,-0.3506
0,880,103,360,0.3182
46,881,426,482,-0.0516
56,882,222,318,0
7,883,548,440,-0.1456
66,884,103,360,-0.6996
18,885,496,300,0
5,886,683,294,0.2716
51,887,387,433,0
16,888,618,331,0.4404
93,889,614,281,0
5,890,686,296,-0.7096
2,891,106,207,0
9,892,555,495,0
113,893,505,387,-0.6166
14,894,659,318,0.34
51,895,394,427,0.1027
55,896,283,521,0
55,897,283,521,0
46,898,426,482,0
21,899,117,346,0
11,900,537,417,0.1531
11,901,537,417,-0.1531
93,902,614,281,0
27,903,505,387,0
11,904,537,417,0.5754
14,905,652,321,0
11,906,537,417,0
27,907,505,387,0
93,908,614,281,0
57,909,448,466,0
58,910,592,359,0.4404
17,911,184,386,0
17,912,184,386,0
14,913,654,316,0
36,914,406,474,0
17,915,184,386,0
84,916,560,494,-0.8238
17,917,184,386,0
17,918,184,386,0
84,919,560,494,-0.8617
18,920,496,303,0
157,921,592,359,-0.6369
58,922,592,359,0
4,923,560,494,0
4,924,560,494,0
9,925,560,494,-0.3786
12,926,589,321,0.4215
12,927,589,321,0.4215
129,928,376,476,-0.5574
38,929,593,272,0
38,930,593,272,0
6,931,154,417,0
36,932,406,474,0
14,933,655,320,0
58,934,592,359,-0.5696
21,935,116,348,0
12,936,589,321,0
12,937,589,321,0
117,938,407,386,0.6114
5,939,688,284,0.6597
14,940,651,317,0.1102
163,941,407,386,0.3657
202,942,407,386,-0.6124
44,943,492,306,-0.25
44,944,492,306,-0.25
93,945,614,281,0
73,946,523,463,-0.6219
5,947,686,295,0.4404
41,948,580,332,-0.3412
41,949,580,332,-0.3412
67,950,123,397,0.7609
55,951,283,521,0
55,952,283,521,0
108,953,469,400,-0.8188
345,954,419,345,-0.9336
23,955,583,515,0
55,956,283,521,0
55,957,283,521,0
55,958,283,521,0
55,959,283,521,0
34,960,80,434,-0.2411
34,961,80,434,-0.2411
55,962,283,521,0
55,963,283,521,0
55,964,283,521,0
55,965,283,521,0
52,966,301,334,0
18,967,491,300,0
14,968,654,316,0.4404
30,969,616,343,0.3612
145,970,537,295,-0.8271
30,971,619,346,0
228,972,570,285,-0.3724
10,973,688,284,-0.8689
175,974,448,435,0.0485
5,975,688,284,0
14,976,654,316,0.0772
240,977,572,414,-0.2244
118,978,534,419,-0.7506
45,979,575,395,0.2228
21,980,116,348,0
41,981,580,332,0.4939
41,982,580,332,0.4939
96,983,618,343,-0.8866
6,984,154,417,-0.5562
30,985,619,346,-0.0516
92,986,496,303,-0.8679
