x,y,sentiment
406,343,0.0
564,513,0.0
162,434,0.3818
494,361,0.3612
494,361,0.3612
661,287,-0.3939
553,291,0.4404
117,347,0.0
496,300,-0.2695
481,446,-0.2714
646,325,0.0
455,372,0.0
455,372,0.0
592,359,0.0
406,343,0.6369
557,503,0.7506
162,434,0.0
557,503,0.0516
504,461,-0.6395
543,284,0.0
580,332,0.8555
580,332,0.8555
396,430,-0.9241
655,244,0.0
666,310,-0.25
619,342,-0.6724
590,276,0.0
407,386,0.0
571,485,0.0
407,386,0.0
584,515,-0.0516
559,473,0.0
592,359,0.0
656,313,0.4019
420,427,0.0
592,359,0.0
564,513,0.0
651,321,0.0
564,513,0.0
558,506,0.0
162,434,-0.5873
506,386,0.0
154,417,-0.7096
162,434,-0.269
688,284,-0.6124
468,303,0.0
682,284,-0.8004
656,313,0.4019
506,386,-0.8893
605,400,0.5574
654,320,0.6705
531,352,0.6792
531,352,0.6792
583,523,-0.296
637,346,0.0
654,318,0.0
76,242,0.0
419,345,-0.5994
373,479,-0.4939
373,479,-0.4939
80,197,0.0
420,427,-0.1779
635,308,-0.8481
656,311,0.128
654,318,-0.5562
652,321,0.8016
552,291,0.4559
506,386,-0.6249
426,482,-0.7717
563,494,-0.0772
523,463,0.4215
652,321,0.3939
537,417,0.0
455,372,-0.892
455,372,-0.892
602,396,0.0
603,391,0.4574
537,417,0.0
113,351,-0.2592
652,321,0.6072
199,372,-0.0516
199,372,-0.0516
481,446,0.0
655,317,0.3182
382,466,-0.4939
618,341,-0.508
494,361,0.8902
494,361,0.8902
549,294,0.3818
420,427,-0.1779
392,430,0.0
664,315,-0.126
392,430,0.4754
134,375,0.0
547,293,0.7125
563,494,0.0
420,427,0.1695
654,320,-0.9941
537,417,-0.6523
481,446,0.7041
382,466,-0.5068
563,494,0.0
103,364,0.7067
548,440,0.2235
556,488,-0.4215
556,488,0.4404
162,434,0.6673
382,466,0.3612
440,290,-0.7184
539,388,0.8555
469,346,-0.5267
660,310,0.0
660,310,0.0
627,336,0.0
408,466,0.0
113,351,0.3612
505,387,-0.4215
498,297,0.0
655,244,0.0
498,298,-0.5106
655,244,0.8955
134,375,-0.5457
304,335,0.0
592,359,0.4404
667,317,-0.7906
471,400,-0.5574
698,266,-0.4019
406,343,-0.4588
506,386,0.2732
655,316,-0.4404
660,308,-0.7579
589,321,-0.5106
589,321,-0.5106
622,347,0.6486
663,318,-0.6948
568,313,0.4404
537,417,0.0
570,305,0.0
656,244,-0.8271
638,327,0.0
615,282,0.4404
523,434,0.7181
601,283,0.0
304,336,-0.5574
397,341,0.1027
565,307,-0.8411
565,307,-0.8411
469,350,-0.5864
397,341,-0.296
500,426,-0.6031
103,362,0.0
516,287,0.0
667,317,0.0
498,298,-0.7845
637,346,0.0
537,417,0.0
571,491,0.0
688,284,0.0
497,296,0.7418
654,320,-0.0258
106,209,0.0
154,416,-0.1536
